iteration,train_loss,val_loss
50,214113.078125,82678.29
100,53463.1796875,18066.719
150,56364.953125,12342.639
200,13811.9609375,1576.1787
250,8079.0283203125,1144.9784
300,5648.0009765625,450.06592
350,960.6416625976562,172.18716
400,521.7495727539062,882.7678
450,501.19415283203125,49.450684
500,508.82232666015625,11.102341
550,834.4999389648438,923.09827
600,120.48988342285156,10.780063
650,115.18721008300781,11.618765
700,67.12454986572266,15.534213
750,49.67667007446289,4.1277933
800,29.958782196044922,4.179645
850,15.417800903320312,47.88124
900,42.01985168457031,1.8868886
950,14.17520809173584,11.44295
1000,17.34551239013672,3.329682
1050,11.398392677307129,2.4789
1100,44.84534454345703,13.678989
1150,9.775254249572754,2.2669253
1200,17.42238998413086,2.7048464
1250,8.702948570251465,1.7628137
1300,37.420204162597656,1.8983204
1350,9.195464134216309,1.8859161
1400,14.52262020111084,1.9247301
1450,9.488933563232422,3.2893467
1500,37.4946174621582,2.3154473
1550,9.689671516418457,1.7611556
1600,15.831195831298828,2.8905742
1650,7.805155277252197,2.547066
1700,35.57185363769531,2.1737611
1750,8.122245788574219,2.6930106
1800,13.963571548461914,2.7793338
1850,6.819591045379639,3.7890136
1900,35.00727462768555,2.7020826
1950,7.908394813537598,2.8773744
2000,13.925530433654785,3.3862636
2050,7.067124366760254,2.7055101
