iteration,train_loss,val_loss
50,669.9053955078125,139.01453
100,333.7225341796875,87.875435
150,211.8028564453125,58.47073
200,159.17813110351562,41.520832
250,133.56790161132812,33.0306
300,85.74065399169922,26.474262
350,70.44141387939453,21.615522
400,50.449119567871094,13.630952
450,35.939571380615234,9.254913
500,30.151153564453125,13.6142435
550,22.56475257873535,5.8199964
600,17.785444259643555,7.1059265
650,12.726998329162598,6.2431674
700,11.34603214263916,3.3522563
750,8.245946884155273,2.626903
800,7.603915214538574,2.8596256
850,7.021937370300293,2.6298952
900,6.992976188659668,1.8745236
950,5.715821266174316,2.2109704
1000,5.046404838562012,2.9663153
1050,5.089570999145508,1.5899466
1100,6.199845790863037,2.104221
1150,7.09342098236084,2.991798
1200,4.6459479331970215,1.5031083
1250,4.524354457855225,1.5288461
1300,6.1319379806518555,2.5768404
1350,4.499444961547852,1.5580224
1400,4.23123836517334,1.5376341
1450,4.4895548820495605,1.7032988
1500,5.3457231521606445,1.5352143
1550,4.11313533782959,1.5314091
1600,4.028912544250488,1.5119976
1650,4.120445728302002,1.5693878
1700,5.254964828491211,1.5550097
