iteration,train_loss,val_loss
50,181262.71875,43370.152
100,41173.1015625,19362.803
150,33017.3828125,8892.884
200,6871.2080078125,7560.1514
250,4652.42431640625,1053.0114
300,3181.580078125,1156.8772
350,1908.865234375,429.40808
400,811.201171875,161.41444
450,882.4559936523438,49.958466
500,366.78582763671875,128.03445
550,196.68283081054688,47.261105
600,231.3579864501953,99.626595
650,158.7730255126953,48.749657
700,77.05245971679688,7.224723
750,46.90547180175781,11.30469
800,26.50354766845703,3.686776
850,24.242277145385742,6.606242
900,44.70676803588867,2.3204489
950,24.633657455444336,3.248177
1000,18.293609619140625,3.9789276
1050,11.314461708068848,1.8689878
1100,41.11532974243164,3.3629782
1150,9.941073417663574,2.5451937
1200,16.20322608947754,4.828032
1250,8.427221298217773,1.9557245
1300,38.00831604003906,1.8167595
1350,8.535948753356934,1.9901999
1400,14.739054679870605,1.6945286
1450,7.78005313873291,2.2410097
1500,36.21976852416992,2.4406931
1550,8.111970901489258,3.554429
1600,15.041767120361328,2.9413488
1650,7.504188060760498,2.2563279
1700,36.550987243652344,1.9987993
1750,8.30591106414795,2.137633
1800,13.78968334197998,3.5283227
1850,7.3838911056518555,2.317171
1900,35.88370895385742,2.0760741
