iteration,train_loss,val_loss
50,579.4849243164062,151.41165
100,313.24908447265625,79.020164
150,246.60365295410156,63.026306
200,178.5635223388672,46.59258
250,125.5066146850586,29.621153
300,85.29584503173828,20.40002
350,66.18426513671875,15.052952
400,63.74678039550781,12.43066
450,33.26722717285156,11.142768
500,30.991138458251953,8.690595
550,20.85335350036621,8.612133
600,17.78557586669922,4.9943886
650,14.996743202209473,3.7311363
700,10.70705795288086,3.012767
750,8.280588150024414,4.5919466
800,7.21982479095459,2.8481913
850,6.257743835449219,2.0045807
900,6.685133934020996,1.7759188
950,5.604063034057617,1.8609596
1000,5.400210857391357,2.6434038
1050,4.872577667236328,1.9913247
1100,7.192017078399658,3.6702695
1150,4.666683197021484,1.6921409
1200,4.39537239074707,1.5029135
1250,4.479391574859619,1.5363607
1300,6.4287590980529785,2.669728
1350,4.593170642852783,1.5706156
1400,4.295127868652344,1.7302818
1450,4.66546630859375,1.5356351
1500,6.514471054077148,2.0690951
1550,4.223169803619385,1.5036995
1600,4.001677513122559,1.5195833
1650,4.579553127288818,1.9011074
1700,5.296180725097656,1.4459321
1750,4.000194549560547,1.5885319
1800,3.9374942779541016,1.5339259
1850,4.023926734924316,1.5002203
1900,5.166534900665283,1.4735835
1950,3.9651293754577637,1.6136298
2000,3.789724826812744,1.5580336
2050,4.0034332275390625,1.5581095
2100,5.183917999267578,1.6320156
2150,3.8263869285583496,1.593323
2200,3.6953158378601074,1.5133321
