iteration,train_loss,val_loss
50,664.1205444335938,243.38406
100,346.569091796875,103.13905
150,303.65557861328125,69.85905
200,206.81491088867188,47.701828
250,122.76728057861328,43.913456
300,89.39350128173828,23.533886
350,106.67414093017578,44.142223
400,61.99492263793945,14.586856
450,36.84648132324219,12.467103
500,28.956396102905273,9.23935
550,22.345849990844727,6.436455
600,18.50717544555664,9.661652
650,18.59079933166504,5.049566
700,12.530925750732422,3.9656858
750,11.826305389404297,3.5201316
800,9.204035758972168,3.7224076
850,8.476962089538574,3.5074658
900,8.130364418029785,2.8738673
950,6.549752235412598,3.14277
1000,7.360741138458252,4.259944
1050,6.0666303634643555,2.3133166
1100,6.8138532638549805,2.3951688
1150,5.859212875366211,2.4492588
1200,5.441704750061035,2.295051
1250,5.98622989654541,2.2576597
1300,6.56098747253418,2.270175
1350,5.501847267150879,2.268811
1400,5.274013042449951,2.2435985
1450,5.456599712371826,2.3112826
1500,6.353754043579102,2.203297
1550,5.366419315338135,2.2423837
1600,5.098278045654297,2.2512174
1650,5.373227596282959,2.2488298
1700,6.854236125946045,2.1933494
1750,5.2809038162231445,2.2390943
1800,5.00663948059082,2.2825878
1850,5.414445877075195,2.3405607
1900,6.13973331451416,2.2521393
1950,5.194809913635254,2.3093433
2000,4.9267683029174805,2.3285134
2050,5.35710334777832,2.3746006
2100,6.111483573913574,2.2560768
2150,5.0984673500061035,2.2541265
2200,4.936521530151367,2.2357092
