iteration,train_loss,val_loss
50,1755152.25,123839.1
100,138337.359375,4436.521
150,142976.328125,41817.95
200,6441.54833984375,7769.2383
250,9769.6435546875,290.85532
300,1891.284912109375,285.0744
350,1608.1593017578125,95.45049
400,2579.552978515625,819.95734
450,562.6512451171875,33.44276
500,950.4999389648438,181.27101
550,207.5422821044922,23.760403
600,129.5087432861328,88.501595
650,109.57279968261719,48.00161
700,67.5889892578125,6.048438
750,41.500457763671875,3.9371626
800,62.205528259277344,29.728529
850,70.06843566894531,15.34919
900,51.846920013427734,4.6470857
950,15.34581184387207,2.3173935
1000,18.75826072692871,5.328577
1050,11.116015434265137,2.5464282
1100,41.66960525512695,3.980222
1150,9.049476623535156,3.6736066
1200,16.165977478027344,3.73985
1250,7.855400085449219,2.846802
1300,38.18319320678711,2.3924255
1350,8.561335563659668,2.4854338
1400,14.554936408996582,2.6622214
1450,8.37387752532959,2.755516
