iteration,train_loss,val_loss
50,570.0834350585938,150.68481
100,317.36529541015625,76.03522
150,204.41305541992188,50.851254
200,137.33505249023438,59.387363
250,102.97611236572266,25.710669
300,63.414093017578125,24.866564
350,52.34042739868164,15.176584
400,32.42948532104492,15.661247
450,26.08523941040039,7.199561
500,22.606449127197266,10.747238
550,21.61788558959961,11.895946
600,26.245798110961914,13.793612
650,11.824840545654297,4.0674124
700,8.300392150878906,1.9373057
750,6.257016658782959,1.8642353
800,5.535574913024902,1.53067
850,5.717741012573242,1.62096
900,7.528759002685547,3.3835928
950,11.081483840942383,3.332183
1000,4.48939323425293,1.1348655
1050,4.116218566894531,2.6270344
1100,5.290991306304932,1.3599747
1150,3.8434319496154785,1.1975439
1200,3.495677947998047,1.2169554
1250,3.640631914138794,1.0503563
1300,4.751500606536865,1.0326475
1350,3.566594362258911,1.0356874
1400,3.2305667400360107,0.9827051
1450,3.42403244972229,1.1644146
1500,4.677905559539795,0.9306186
1550,3.8097050189971924,1.7962399
1600,3.020277261734009,1.0400505
1650,3.297074556350708,1.0759208
1700,4.583425521850586,1.065447
1750,3.3744750022888184,1.1384875
1800,3.3832011222839355,1.2110864
1850,3.203068256378174,1.0858887
1900,4.554717540740967,1.0793071
1950,3.22239351272583,1.0357778
2000,2.9147191047668457,1.1819248
