iteration,train_loss,val_loss
50,549.5474243164062,156.93742
100,360.777099609375,96.56406
150,242.49130249023438,56.215397
200,159.99806213378906,64.218094
250,122.11040496826172,40.75786
300,99.1029052734375,29.241343
350,58.237548828125,21.775286
400,41.02869415283203,12.639812
450,42.57273483276367,11.007323
500,24.87347412109375,8.192372
550,22.898834228515625,7.087869
600,22.222169876098633,5.8796186
650,12.547475814819336,4.6625233
700,10.052536010742188,3.745671
750,9.726439476013184,5.044859
800,8.170919418334961,2.7987587
850,6.765413284301758,2.8762755
900,6.5896525382995605,2.3478978
950,5.663680553436279,2.5174904
1000,5.446693420410156,2.2936876
1050,4.966195106506348,1.9370637
1100,5.776630401611328,2.0005465
1150,4.8466362953186035,2.5028145
1200,5.078701019287109,2.62984
1250,4.568216800689697,1.9514347
1300,5.844754219055176,2.4592643
1350,5.349910736083984,2.1590452
1400,4.469325542449951,2.3843148
1450,4.823237419128418,1.8523371
1500,5.36061429977417,1.7446383
1550,4.55103874206543,1.8660128
1600,4.709346294403076,1.9647459
1650,4.157245635986328,1.7718674
1700,5.2723283767700195,1.8624928
1750,4.022661209106445,1.810404
1800,3.8453621864318848,1.7945348
1850,4.0550336837768555,1.7445347
1900,5.160780429840088,1.7777488
1950,3.986443042755127,1.848871
2000,4.195040225982666,1.7892722
2050,3.979269504547119,1.5728643
2100,5.102414131164551,1.5508655
2150,3.7761988639831543,1.608174
2200,3.6592910289764404,1.5354091
2250,3.817812919616699,1.5516012
2300,4.969085216522217,1.5411316
2350,3.7174072265625,1.613602
2400,3.6063072681427,1.5794647
2450,3.8327951431274414,1.5601763
2500,5.001454830169678,1.5277023
2550,3.714400291442871,1.6250948
2600,3.759194850921631,1.7320276
2650,3.7271080017089844,1.6380965
2700,4.862580299377441,1.5705534
2750,3.670502185821533,1.5987729
2800,3.5379586219787598,1.6211568
2850,3.672018051147461,1.6405785
2900,4.826569080352783,1.6291251
2950,3.6215782165527344,1.6047301
3000,3.4824492931365967,1.6462495
