iteration,train_loss,val_loss
50,738.8717041015625,287.13232
100,397.54644775390625,122.84965
150,302.32562255859375,76.81057
200,190.6226806640625,67.33643
250,125.83761596679688,40.649197
300,130.29067993164062,44.991993
350,81.06719970703125,24.109718
400,57.17649841308594,15.119997
450,46.01225280761719,15.338068
500,30.335647583007812,8.828153
550,36.2241096496582,15.763242
600,20.476661682128906,9.605382
650,11.74502944946289,3.8951159
700,12.142305374145508,6.455783
750,10.44569206237793,3.4804692
800,8.74733829498291,3.0183878
850,9.372148513793945,5.051318
900,9.027029037475586,4.182295
950,7.131239414215088,2.5589778
1000,6.9467082023620605,3.0236943
1050,6.4896626472473145,2.7419214
1100,7.342607498168945,2.8709695
1150,6.0279541015625,3.5923004
1200,10.207777976989746,9.099508
1250,5.843225479125977,2.2145593
1300,6.620964050292969,2.3831394
1350,5.8658766746521,2.3261154
1400,5.5403876304626465,2.2573411
1450,5.832881927490234,2.2375722
1500,6.4481024742126465,2.3094883
1550,5.520574569702148,2.3164508
1600,5.084272384643555,2.2333648
1650,5.3021159172058105,2.2858105
1700,6.246356010437012,2.2884808
1750,5.2051286697387695,2.2578573
