model,MAE,MSE,RMSE,sMAPE,R2
persistence,0.8991780822,3.0355616438,1.7422863266,2.3045113125,0.9596467918
nbeatsx_lstm,1.4550125833,6.1343374767,2.4767594709,3.6723404294,0.9184532465
