model,MAE,MSE,RMSE,sMAPE,R2
persistence,0.7285714286,1.4307142857,1.1961246949,1.6471758930,0.7756761135
nbeatsx_lstm,0.7753272500,1.3823873459,1.1757496953,1.7917048430,0.7832533685
nbeatsx,0.8903932857,2.0120613625,1.4184714881,2.0587712425,0.6845258140
lstm,1.6037682500,4.6592837996,2.1585374214,3.7529655141,0.2694637492
tcn,2.0170889643,6.1091032417,2.4716600174,4.6161897229,0.0421443359
