model,training_loss,MAE_mean,MSE_mean,RMSE_mean,sMAPE_mean,R2_mean,MAE_sd,MSE_sd,RMSE_sd,sMAPE_sd,R2_sd
NBeatsx_LSTM,MAE,0.8830775577,2.8798851914,1.6935670954,2.1851480436,0.9617162751,0.0169463837,0.4262649376,0.1210148995,0.0390591939,0.0056665487
NBeatsx_LSTM,MSE,1.0353161715,4.3738265899,1.9933714519,2.4883218666,0.9418565801,0.1148913074,3.4660785779,0.7073691084,0.2448889428,0.0460762808
