run,contract_address,repetition,pair_position,condition,date_key,returned_bytes,estimated_call_gas,rpc_call_seconds,readback_matches,decode_matches_source
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,21,2,packed_bytes32,20240523,32,24664,1.366158699999687,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,22,1,packed_bytes32,20240523,32,24664,1.079254199999923,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,22,2,raw,20240523,83,32279,1.3943762999997489,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,23,1,raw,20240523,83,32279,1.1040303999998287,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,23,2,packed_bytes32,20240523,32,24664,1.0632910999993328,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,24,1,packed_bytes32,20240523,32,24664,1.099389400000291,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,24,2,raw,20240523,83,32279,1.3838525999999547,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,25,1,raw,20240523,83,32279,1.3672624000000724,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,25,2,packed_bytes32,20240523,32,24664,1.1525947999998607,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,26,1,packed_bytes32,20240523,32,24664,1.3742881999996825,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,26,2,raw,20240523,83,32279,1.1207824000002802,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,27,1,raw,20240523,83,32279,1.408835100000033,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,27,2,packed_bytes32,20240523,32,24664,1.095041599999604,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,28,1,packed_bytes32,20240523,32,24664,1.3788422999996328,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,28,2,raw,20240523,83,32279,1.1248935000003257,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,29,1,raw,20240523,83,32279,1.31674109999949,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,29,2,packed_bytes32,20240523,32,24664,1.5882862999997087,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,30,1,packed_bytes32,20240523,32,24664,1.1109526999998707,True,True
run_a_raw_first,0x992114A8C3E975B003209ad5045d3c956E154901,30,2,raw,20240523,83,32279,1.3790750999996817,True,True
run_b_packed_first,0x7375A26C9c65B1574eCDbb8C6aa5121f70D4400b,1,1,raw,20240523,83,32279,1.8768228999997518,True,True
run_b_packed_first,0x7375A26C9c65B1574eCDbb8C6aa5121f70D4400b,1,2,packed_bytes32,20240523,32,24664,1.4096745000006194,True,True
run_b_packed_first,0x7375A26C9c65B1574eCDbb8C6aa5121f70D4400b,2,1,packed_bytes32,20240523,32,24664,1.088292200000069,True,True
run_b_packed_first,0x7375A26C9c65B1574eCDbb8C6aa5121f70D4400b,2,2,raw,20240523,83,32279,1.3916714000006323,True,True
